date,equity
2016-01-04,100000.0
2016-01-04,100000.0
2016-01-05,99996.38072942145
2016-01-06,100031.83796870628
2016-01-07,99966.08103922008
2016-01-08,99992.13841102582
2016-01-11,100049.01325731017
2016-01-12,99999.68346123022
2016-01-13,100215.81460210614
2016-01-14,100212.14031022204
2016-01-15,99549.40601392169
2016-01-19,99272.7302485285
2016-01-20,99369.7146057644
2016-01-21,99045.18341949013
2016-01-22,99440.26118591517
2016-01-25,99720.86399728643
2016-01-26,99588.41693719673
2016-01-27,99752.93485283552
2016-01-28,99758.3436856266
2016-01-29,99615.20859462248
2016-02-01,100065.29706406376
2016-02-02,100028.8418553088
2016-02-03,99598.95401053596
2016-02-04,99582.4836471395
2016-02-05,99930.26805275613
2016-02-08,99950.69848844896
2016-02-09,99693.81201551824
2016-02-10,99648.56786746628
2016-02-11,99308.43741864874
2016-02-12,99102.02360482693
2016-02-16,99797.32386961396
2016-02-17,101209.81438340723
2016-02-18,102442.05278721289
2016-02-19,102874.39276191473
2016-02-22,102860.04898836701
2016-02-23,103635.26052986186
2016-02-24,102885.85791395276
2016-02-25,102687.52465870527
2016-02-26,102699.45258834791
2016-02-29,102718.6707910309
2016-03-01,102693.25718939403
2016-03-02,102754.88227028861
2016-03-03,102692.22022717135
2016-03-04,103028.9437841313
2016-03-07,102717.20106747886
2016-03-08,102509.09633665382
2016-03-09,102043.06378315284
2016-03-10,101898.51325680186
2016-03-11,102015.16233944491
2016-03-14,102624.50754726291
2016-03-15,102604.35348980859
2016-03-16,102498.92484769049
2016-03-17,102768.92983018626
2016-03-18,103377.22250978027
2016-03-21,103792.49569332623
2016-03-22,103785.4183367896
2016-03-23,103860.91186118712
2016-03-24,103770.42572017333
2016-03-28,103860.56868222918
2016-03-29,103875.54902641648
2016-03-30,104593.65184206323
2016-03-31,104982.35593225987
2016-04-01,104778.00863073868
2016-04-04,104922.30704398506
2016-04-05,104598.17784718744
2016-04-06,104451.86354911744
2016-04-07,104360.29626299629
2016-04-08,104056.3467143187
2016-04-11,103950.67169792857
2016-04-12,104015.99421440453
2016-04-13,104085.48440999142
2016-04-14,104444.08761324757
2016-04-15,104735.88646243274
2016-04-18,102486.2261384918
2016-04-19,102380.28639306904
2016-04-20,102489.88908063859
2016-04-21,102684.33850667521
2016-04-22,102219.00915524187
2016-04-25,101768.89391353563
2016-04-26,101782.73704705396
2016-04-27,101621.10029113278
2016-04-28,101597.44380614365
2016-04-29,101344.84119975725
2016-05-02,101281.02228833499
2016-05-03,101367.97136919544
2016-05-04,101046.37782299513
2016-05-05,100927.13301967281
2016-05-06,100860.41854558905
2016-05-09,101043.72122244837
2016-05-10,101001.35495988172
2016-05-11,101411.13416127053
2016-05-12,101248.74743898824
2016-05-13,100236.9597925581
2016-05-16,101235.865964759
2016-05-17,101841.17385719244
2016-05-18,101292.78879797552
