year,month,return
2016,1,-0.003848
2016,2,0.031155
2016,3,0.022038
2016,4,-0.034649
2016,5,0.016970
2016,6,-0.020063
2016,7,0.022659
2016,8,0.009060
2016,9,0.005887
2016,10,0.003003
2016,11,0.019478
2016,12,0.016645
2017,1,0.003018
2017,2,0.006919
2017,3,0.009138
2017,4,0.003799
2017,5,0.036246
2017,6,-0.010642
2017,7,0.027572
2017,8,0.002463
2017,9,-0.010100
2017,10,0.016921
2017,11,0.004261
2017,12,-0.008040
2018,1,0.021691
2018,2,-0.018736
2018,3,-0.028160
2018,4,0.007447
2018,5,0.049007
2018,6,-0.016657
2018,7,0.005966
2018,8,0.029689
2018,9,0.007280
2018,10,-0.039528
2018,11,-0.017524
2018,12,-0.001558
2019,1,0.001179
2019,2,0.036782
2019,3,0.012224
2019,4,0.026405
2019,5,-0.033869
2019,6,0.026015
2019,7,0.007124
2019,8,-0.020121
2019,9,0.004584
2019,10,0.014668
2019,11,0.016766
2019,12,0.019295
2020,1,0.009980
2020,2,-0.016049
2020,3,-0.069531
2020,4,0.022570
2020,5,0.038191
2020,6,0.038312
2020,7,0.001592
2020,8,0.047787
2020,9,-0.019034
2020,10,-0.007476
2020,11,0.018317
2020,12,0.009305
2021,1,0.011468
2021,2,0.019580
2021,3,0.013955
2021,4,0.027557
2021,5,0.005463
2021,6,0.025590
2021,7,0.013926
2021,8,0.006799
2021,9,-0.007080
2021,10,0.016294
2021,11,0.031867
2021,12,0.013592
2022,1,-0.050025
2022,2,0.008991
2022,3,0.043561
2022,4,-0.022273
2022,5,0.000642
2022,6,-0.034471
2022,7,0.034781
2022,8,0.000079
2022,9,-0.020568
2022,10,0.050925
2022,11,0.030583
2022,12,-0.036150
2023,1,0.009430
2023,2,0.017735
2023,3,0.014111
2023,4,-0.013644
2023,5,0.089506
2023,6,0.011493
2023,7,0.026763
2023,8,-0.014821
2023,9,-0.019148
2023,10,-0.008541
2023,11,0.050555
2023,12,0.008420
2024,1,0.023022
2024,2,0.080041
2024,3,0.009815
2024,4,0.022795
2024,5,0.027963
2024,6,0.047152
2024,7,0.013416
2024,8,-0.019756
2024,9,0.024678
2024,10,-0.023695
2024,11,0.021566
2024,12,0.004259
2025,1,-0.007449
2025,2,0.014085
2025,3,-0.014904
2025,4,0.006924
2025,5,0.046968
2025,6,0.027865
2025,7,0.018759
2025,8,-0.001844
2025,9,0.014537
2025,10,0.012360
2025,11,-0.000828
2025,12,-0.000171
2026,1,-0.008046
2026,2,-0.001580
