window,is_start,is_end,oos_start,oos_end,IS_sharpe,OOS_sharpe,ratio,IS_ret,OOS_ret,error
0,2015-12-31,2018-05-01,2018-05-01,2018-11-23,0.2653,-1.1717,-4.4175,0.149874,-0.029325,
1,2016-08-01,2018-11-23,2018-11-23,2019-06-27,0.0000,0.0000,0.0000,0.000000,0.000000,index 78 is out of bounds for axis 0 with size 78
2,2017-03-03,2019-06-27,2019-06-27,2020-01-24,0.1832,0.7564,4.1284,0.138368,0.053385,
3,2017-09-28,2020-01-24,2020-01-24,2020-08-20,0.1288,0.1826,1.4175,0.128264,0.039070,
4,2018-05-01,2020-08-20,2020-08-20,2021-03-25,0.2184,0.6667,3.0521,0.150717,0.057187,
5,2018-11-23,2021-03-25,2021-03-25,2021-10-19,0.6174,1.0654,1.7255,0.244894,0.059829,
6,2019-06-27,2021-10-19,2021-10-19,2022-05-20,0.6511,-0.6317,-0.9701,0.248226,-0.005741,
7,2020-01-24,2022-05-20,2022-05-20,2022-12-19,0.4695,0.7571,1.6127,0.214416,0.075818,
8,2020-08-20,2022-12-19,2022-12-19,2023-07-24,0.5491,0.0000,0.0000,0.223841,0.000000,index 60 is out of bounds for axis 0 with size 60
9,2021-03-25,2023-07-24,2023-07-24,2024-02-23,0.8598,1.7294,2.0114,0.309430,0.135122,
10,2021-10-19,2024-02-23,2024-02-23,2024-09-19,0.9102,2.2005,2.4176,0.347469,0.128126,
11,2022-05-20,2024-09-19,2024-09-19,2025-04-22,1.6775,-0.8980,-0.5353,0.566165,-0.027279,
12,2022-12-19,2025-04-22,2025-04-22,2025-11-17,0.0000,0.0000,0.0000,0.000000,0.000000,index 60 is out of bounds for axis 0 with size 60
13,2023-07-24,2025-11-17,2025-11-17,2026-02-24,1.3145,-0.8482,-0.6453,0.430683,0.001292,
