date,net_pnl,return_pct,trades_taken,trades_won,trades_lost,win_rate,gross_pnl,commissions,starting_equity,ending_equity,max_drawdown,max_drawdown_pct,market_regime
2024-01-22,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-01-23,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-01-24,6.63,0.0056,1,1,0,100.0,7.63,1.0,100000.0,100005.63,0.0,0.0,
2024-01-25,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-01-26,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-01-29,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-01-30,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-01-31,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-01,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-02,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-05,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-06,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-07,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-08,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-09,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-12,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-13,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-14,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-15,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-16,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-20,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-21,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-22,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-23,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-26,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-27,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-28,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-02-29,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
2024-03-01,0.0,0.0,0,0,0,0.0,0.0,0.0,100005.63,100005.63,0.0,0.0,
