id,symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,net_pnl,pnl_percent,gross_pnl,commission,slippage,duration_minutes,bars_held,max_adverse_excursion,max_favorable_excursion,exit_reason,signal_confidence,market_regime
T-00001,NVDA,SHORT,2024-01-24T15:10:00,2024-01-24T15:55:00,61.6292,61.3907,32,6.63,0.3363,7.63,1.0,0.98,45,9,1.63,14.69,End of day,0.58,TREND_DOWN
T-00002,NVDA,SHORT,2024-03-08T11:45:00,2024-03-08T15:55:00,90.005,87.5438,22,53.15,2.684,54.15,1.0,0.96,250,50,8.69,76.89,End of day,0.58,TREND_DOWN
T-00003,NVDA,SHORT,2024-04-04T15:55:00,2024-04-05T09:30:00,85.8571,87.0185,23,-27.71,-1.4034,-26.71,1.0,1.0,1055,1,34.8,0.0,Stop loss hit,0.58,TREND_DOWN
T-00004,NVDA,SHORT,2024-04-17T15:55:00,2024-04-18T09:30:00,83.978,84.9893,23,-24.26,-1.256,-23.26,1.0,0.98,1055,1,25.81,0.0,Stop loss hit,0.58,TREND_DOWN
T-00005,NVDA,SHORT,2024-04-29T15:00:00,2024-04-29T15:45:00,86.7366,87.4862,23,-18.24,-0.9144,-17.24,1.0,1.01,45,9,16.64,4.75,Stop loss hit,0.58,TREND_DOWN
T-00006,NVDA,SHORT,2024-07-24T14:40:00,2024-07-24T15:50:00,115.0225,113.5482,17,24.06,1.2306,25.06,1.0,0.96,70,14,12.2,26.9,Take profit hit,0.58,TREND_DOWN
T-00007,NVDA,SHORT,2024-07-30T12:20:00,2024-07-30T13:45:00,104.0779,106.0169,19,-37.84,-1.9136,-36.84,1.0,1.01,85,17,37.85,29.22,Stop loss hit,0.6,TREND_DOWN
T-00008,NVDA,SHORT,2024-08-01T14:15:00,2024-08-01T15:55:00,107.2064,109.4347,18,-41.11,-2.1304,-40.11,1.0,0.98,100,20,41.11,7.13,End of day,0.6,TREND_DOWN
T-00009,NVDA,SHORT,2024-08-29T15:45:00,2024-08-29T15:55:00,118.001,117.6888,16,3.99,0.2116,4.99,1.0,0.94,10,2,8.46,8.66,End of day,0.6,TREND_DOWN
T-00010,NVDA,SHORT,2024-09-03T15:30:00,2024-09-03T15:55:00,107.7461,108.024,18,-6.0,-0.3095,-5.0,1.0,0.97,25,5,9.43,8.21,End of day,0.58,TREND_DOWN
T-00011,NVDA,SHORT,2024-09-26T13:15:00,2024-09-26T13:40:00,121.899,122.9875,16,-18.42,-0.9442,-17.42,1.0,0.98,25,5,19.86,1.58,Stop loss hit,0.58,TREND_DOWN
