id,symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,net_pnl,pnl_percent,gross_pnl,commission,slippage,duration_minutes,bars_held,max_adverse_excursion,max_favorable_excursion,exit_reason,signal_confidence,market_regime
T-00001,SMCI,SHORT,2024-04-04T14:05:00,2024-04-04T14:25:00,100.9695,99.5555,19,25.87,1.3483,26.87,1.0,0.95,20,4,0.2,30.58,Take profit hit,0.57,TREND_DOWN
T-00002,SMCI,SHORT,2024-04-04T15:55:00,2024-04-05T09:30:00,95.7521,98.0008,20,-45.97,-2.4006,-44.97,1.0,0.98,1055,1,46.96,0.0,Stop loss hit,0.58,TREND_DOWN
T-00003,SMCI,SHORT,2024-04-24T11:40:00,2024-04-24T15:55:00,75.0125,75.5077,26,-13.88,-0.7115,-12.88,1.0,0.98,255,51,48.3,33.86,End of day,0.58,TREND_DOWN
T-00004,SMCI,SHORT,2024-07-24T15:50:00,2024-07-24T15:55:00,70.9245,71.2156,28,-9.15,-0.4607,-8.15,1.0,1.0,5,1,11.91,0.0,End of day,0.6,TREND_DOWN
T-00005,SMCI,SHORT,2024-07-30T11:40:00,2024-07-30T15:55:00,66.2469,66.6233,30,-12.29,-0.6185,-11.29,1.0,1.0,255,51,39.09,18.51,End of day,0.58,TREND_DOWN
T-00006,SMCI,SHORT,2024-11-14T15:45:00,2024-11-14T15:55:00,17.951,18.039,111,-10.77,-0.5404,-9.77,1.0,1.0,10,2,15.43,7.88,End of day,0.6,TREND_DOWN
T-00007,SMCI,SHORT,2024-11-15T10:50:00,2024-11-15T15:15:00,17.6012,18.1566,113,-63.76,-3.2056,-62.76,1.0,1.03,265,53,66.53,39.69,Stop loss hit,0.6,TREND_DOWN
T-00008,SMCI,SHORT,2024-12-18T14:05:00,2024-12-18T15:25:00,33.7131,32.8378,59,50.64,2.546,51.64,1.0,0.97,80,16,7.49,59.18,Take profit hit,0.58,TREND_DOWN
T-00009,SMCI,SHORT,2024-12-18T15:55:00,2024-12-19T09:30:00,32.2239,32.9868,61,-47.54,-2.4186,-46.54,1.0,1.01,1055,1,76.01,0.0,Stop loss hit,0.58,TREND_DOWN
T-00010,SMCI,SHORT,2024-12-19T10:25:00,2024-12-19T15:55:00,31.1844,31.2556,64,-5.56,-0.2785,-4.56,1.0,1.0,330,66,65.64,23.32,End of day,0.58,TREND_DOWN
T-00011,SMCI,SHORT,2025-01-02T12:25:00,2025-01-02T15:55:00,30.2749,30.095,65,10.69,0.5431,11.69,1.0,0.98,210,42,8.78,24.37,End of day,0.6,TREND_DOWN
T-00012,SMCI,SHORT,2025-01-16T15:55:00,2025-01-17T09:30:00,31.1144,31.4546,64,-22.77,-1.1436,-21.77,1.0,1.01,1055,1,43.88,0.0,Stop loss hit,0.58,TREND_DOWN
T-00013,SMCI,SHORT,2025-01-29T13:00:00,2025-01-29T14:40:00,27.7561,28.1984,71,-32.4,-1.6441,-31.4,1.0,1.0,100,20,35.78,10.37,Stop loss hit,0.58,TREND_DOWN
T-00014,SMCI,SHORT,2025-01-31T15:00:00,2025-01-31T15:55:00,28.5057,28.5243,69,-2.28,-0.1158,-1.28,1.0,0.98,55,11,13.4,5.92,End of day,0.58,TREND_DOWN
T-00015,SMCI,SHORT,2025-02-24T14:15:00,2025-02-24T15:55:00,52.7236,51.5958,37,40.73,2.0879,41.73,1.0,0.95,100,20,34.28,43.42,End of day,0.6,TREND_DOWN
T-00016,SMCI,SHORT,2025-02-25T10:30:00,2025-02-25T15:55:00,46.9965,45.5528,42,59.64,3.0213,60.64,1.0,0.96,325,65,77.43,125.85,End of day,0.6,TREND_DOWN
T-00017,SMCI,SHORT,2025-02-26T14:55:00,2025-02-26T15:55:00,51.1244,51.1155,39,-0.65,-0.0328,0.35,1.0,1.0,60,12,20.5,41.9,End of day,0.6,TREND_DOWN
T-00018,SMCI,SHORT,2025-02-27T15:40:00,2025-02-27T15:55:00,42.5287,42.9715,46,-21.37,-1.0922,-20.37,1.0,0.99,15,3,20.3,0.0,End of day,0.6,TREND_DOWN
T-00019,SMCI,SHORT,2025-03-03T12:50:00,2025-03-03T15:00:00,38.051,36.5911,52,74.91,3.786,75.91,1.0,0.95,130,26,10.87,80.65,Take profit hit,0.6,TREND_DOWN
T-00020,SMCI,SHORT,2025-03-04T10:00:00,2025-03-04T11:20:00,35.992,37.8218,55,-101.64,-5.1343,-100.64,1.0,1.04,80,16,106.04,11.66,Stop loss hit,0.6,TREND_DOWN
T-00021,SMCI,SHORT,2025-03-13T15:35:00,2025-03-13T15:55:00,39.4103,39.1296,50,13.04,0.6616,14.04,1.0,0.98,20,4,8.99,25.51,End of day,0.58,TREND_DOWN
T-00022,SMCI,SHORT,2025-03-26T11:35:00,2025-03-26T14:40:00,37.8611,36.8184,52,53.22,2.7031,54.22,1.0,0.96,185,37,10.86,59.34,Take profit hit,0.6,TREND_DOWN
