date,net_pnl,return_pct,trades_taken,trades_won,trades_lost,win_rate,gross_pnl,commissions,starting_equity,ending_equity,max_drawdown,max_drawdown_pct,market_regime
2024-01-22,0.0,0.0,0,0,0,0.0,0.0,0.0,100003.63,100003.63,0.0,0.0,
2024-01-23,-3.95,-0.005,1,0,1,0.0,-2.95,1.0,100003.63,99998.68,0.0,0.0,
2024-01-24,0.0,0.0,0,0,0,0.0,0.0,0.0,99998.68,99998.68,0.0,0.0,
2024-01-25,0.0,0.0,0,0,0,0.0,0.0,0.0,99998.68,99998.68,0.0,0.0,
2024-01-26,-10.16,-0.0112,1,0,1,0.0,-9.16,1.0,99998.68,99987.52,0.0,0.0,
2024-01-29,-2.02,-0.003,1,0,1,0.0,-1.02,1.0,99987.52,99984.5,0.0,0.0,
2024-01-30,0.0,0.0,0,0,0,0.0,0.0,0.0,99984.5,99984.5,0.0,0.0,
2024-01-31,-13.17,-0.0152,2,1,1,50.0,-11.17,2.0,99984.5,99969.34,0.0,0.0,
2024-02-01,8.04,0.007,1,1,0,100.0,9.04,1.0,99969.34,99976.37,0.0,0.0,
2024-02-02,0.0,0.0,0,0,0,0.0,0.0,0.0,99976.37,99976.37,0.0,0.0,
2024-02-05,-16.74,-0.0177,1,0,1,0.0,-15.74,1.0,99976.37,99958.64,0.0,0.0,
2024-02-06,0.0,0.0,0,0,0,0.0,0.0,0.0,99958.64,99958.64,0.0,0.0,
2024-02-07,-6.1,-0.0071,1,0,1,0.0,-5.1,1.0,99958.64,99951.54,0.0,0.0,
2024-02-08,-11.06,-0.0121,1,0,1,0.0,-10.06,1.0,99951.54,99939.48,0.0,0.0,
2024-02-09,-10.27,-0.0123,2,0,2,0.0,-8.27,2.0,99939.48,99927.21,0.0,0.0,
2024-02-12,-5.97,-0.007,1,0,1,0.0,-4.97,1.0,99927.21,99920.24,0.0,0.0,
2024-02-13,-8.24,-0.0092,1,0,1,0.0,-7.24,1.0,99920.24,99911.0,0.0,0.0,
2024-02-14,-10.42,-0.0114,1,0,1,0.0,-9.42,1.0,99911.0,99899.58,0.0,0.0,
2024-02-15,0.0,0.0,0,0,0,0.0,0.0,0.0,99899.58,99899.58,0.0,0.0,
2024-02-16,-7.17,-0.0082,1,0,1,0.0,-6.17,1.0,99899.58,99891.42,0.0,0.0,
2024-02-20,0.0,0.0,0,0,0,0.0,0.0,0.0,99891.42,99891.42,0.0,0.0,
2024-02-21,0.0,0.0,0,0,0,0.0,0.0,0.0,99891.42,99891.42,0.0,0.0,
2024-02-22,-3.23,-0.0052,2,1,1,50.0,-1.23,2.0,99891.42,99886.19,0.0,0.0,
2024-02-23,-0.13,-0.0011,1,0,1,0.0,0.87,1.0,99886.19,99885.06,0.0,0.0,
2024-02-26,-15.62,-0.0176,2,0,2,0.0,-13.62,2.0,99885.06,99867.44,0.0,0.0,
2024-02-27,-8.09,-0.0091,1,0,1,0.0,-7.09,1.0,99867.44,99858.35,0.0,0.0,
2024-02-28,0.0,0.0,0,0,0,0.0,0.0,0.0,99858.35,99858.35,0.0,0.0,
2024-02-29,-11.72,-0.0127,1,0,1,0.0,-10.72,1.0,99858.35,99845.63,0.0,0.0,
2024-03-01,10.01,0.009,1,1,0,100.0,11.01,1.0,99845.63,99854.64,0.0,0.0,
2024-03-04,0.0,0.0,0,0,0,0.0,0.0,0.0,99854.64,99854.64,0.0,0.0,
2024-03-05,-3.42,-0.0044,1,0,1,0.0,-2.42,1.0,99854.64,99850.22,0.0,0.0,
2024-03-06,-7.15,-0.0082,1,0,1,0.0,-6.15,1.0,99850.22,99842.06,0.0,0.0,
2024-03-07,14.01,0.013,1,1,0,100.0,15.01,1.0,99842.06,99855.07,0.0,0.0,
2024-03-08,-12.26,-0.0143,2,1,1,50.0,-10.26,2.0,99855.07,99840.81,0.0,0.0,
2024-03-11,5.78,0.0048,1,1,0,100.0,6.78,1.0,99840.81,99845.6,0.0,0.0,
2024-03-12,2.71,0.0017,1,1,0,100.0,3.71,1.0,99845.6,99847.3,0.0,0.0,
2024-03-13,0.0,0.0,0,0,0,0.0,0.0,0.0,99847.3,99847.3,0.0,0.0,
2024-03-14,1.71,0.0007,1,1,0,100.0,2.71,1.0,99847.3,99848.02,0.0,0.0,
2024-03-15,0.0,0.0,0,0,0,0.0,0.0,0.0,99848.02,99848.02,0.0,0.0,
2024-03-18,0.0,0.0,0,0,0,0.0,0.0,0.0,99848.02,99848.02,0.0,0.0,
2024-03-19,-2.41,-0.0044,2,1,1,50.0,-0.41,2.0,99848.02,99843.61,0.0,0.0,
2024-03-20,11.47,0.0095,2,2,0,100.0,13.47,2.0,99843.61,99853.08,0.0,0.0,
2024-03-21,0.0,0.0,0,0,0,0.0,0.0,0.0,99853.08,99853.08,0.0,0.0,
2024-03-22,0.0,0.0,0,0,0,0.0,0.0,0.0,99853.08,99853.08,0.0,0.0,
2024-03-25,6.15,0.0052,1,1,0,100.0,7.15,1.0,99853.08,99858.22,0.0,0.0,
2024-03-26,9.6,0.0086,1,1,0,100.0,10.6,1.0,99858.22,99866.83,0.0,0.0,
2024-03-27,-7.96,-0.009,1,0,1,0.0,-6.96,1.0,99866.83,99857.86,0.0,0.0,
2024-03-28,-0.58,-0.0016,1,0,1,0.0,0.42,1.0,99857.86,99856.28,0.0,0.0,
2024-04-01,-6.72,-0.0077,1,0,1,0.0,-5.72,1.0,99856.28,99848.56,0.0,0.0,
2024-04-02,0.0,0.0,0,0,0,0.0,0.0,0.0,99848.56,99848.56,0.0,0.0,
2024-04-03,0.0,0.0,0,0,0,0.0,0.0,0.0,99848.56,99848.56,0.0,0.0,
