================================================================================
IBKR 10-Year 5-Minute Bar Data Downloader
================================================================================
Symbols:    SPY, QQQ, AAPL, NVDA, MSFT, SMCI, IWM, HYG, LQD, TLT, GLD
Date range: 2016-01-01 to 2026-02-25
Port:       4002
Client ID:  55
Sleep:      11.0s between requests
Resume:     True
Cache dir:  /Users/mahimnpatel/Documents/Dev/randomThings/data/cache
Manifest:   /Users/mahimnpatel/Documents/Dev/randomThings/data/download_manifest.json

Download plan: 5830 chunks remaining out of 5830 total
Estimated time: 17h 48m 50s

  Connected to IB Gateway at 127.0.0.1:4002 (attempt 1)
  [1/5830] SPY chunk 1/530 | 0 bars | ETA: unknown
  [2/5830] QQQ chunk 1/530 | 0 bars | ETA: 18h 15m 37s
  [3/5830] AAPL chunk 1/530 | 0 bars | ETA: 18h 22m 51s
  [4/5830] NVDA chunk 1/530 | 0 bars | ETA: 18h 20m 47s
  [5/5830] MSFT chunk 1/530 | 0 bars | ETA: 18h 18m 30s
  [6/5830] SMCI chunk 1/530 | 0 bars | ETA: 18h 19m 38s
  [7/5830] IWM chunk 1/530 | 0 bars | ETA: 18h 17m 54s
  [8/5830] HYG chunk 1/530 | 0 bars | ETA: 18h 18m 08s
  [9/5830] LQD chunk 1/530 | 0 bars | ETA: 18h 20m 47s
  [10/5830] TLT chunk 1/530 | 0 bars | ETA: 18h 22m 54s
  [11/5830] GLD chunk 1/530 | 0 bars | ETA: 18h 24m 44s
  [12/5830] SPY chunk 2/530 | 312 bars | ETA: 18h 22m 50s
  [13/5830] QQQ chunk 2/530 | 312 bars | ETA: 18h 21m 29s
  [14/5830] AAPL chunk 2/530 | 312 bars | ETA: 18h 19m 48s

  Signal 15 received. Finishing current request then saving...
  Saved API connection failed: TimeoutError()
  Connection attempt 1/3 failed: 
  Retrying in 2s...
  Connected to IB Gateway at 127.0.0.1:4002 (attempt 2)
  [4/5830] SPY chunk 2/530 | 0 bars | ETA: unknown
  [5/5830] QQQ chunk 2/530 | 0 bars | ETA: 18h 04m 35s
  [6/5830] AAPL chunk 2/530 | 0 bars | ETA: 18h 03m 44s
  [7/5830] NVDA chunk 1/530 | 0 bars | ETA: 18h 02m 25s
  [8/5830] MSFT chunk 1/530 | 0 bars | ETA: 18h 02m 07s
  [9/5830] SMCI chunk 1/530 | 0 bars | ETA: 18h 03m 17s
  [10/5830] IWM chunk 1/530 | 0 bars | ETA: 18h 02m 49s
  [11/5830] HYG chunk 1/530 | 0 bars | ETA: 18h 02m 40s
  [12/5830] LQD chunk 1/530 | 0 bars | ETA: 18h 03m 12s
  [13/5830] TLT chunk 1/530 | 0 bars | ETA: 18h 03m 29s
  [14/5830] GLD chunk 1/530 | 0 bars | ETA: 18h 04m 15s
  [15/5830] SPY chunk 3/530 | 252 bars | ETA: 18h 03m 46s
  [16/5830] QQQ chunk 3/530 | 252 bars | ETA: 18h 03m 18s
  [17/5830] AAPL chunk 3/530 | 252 bars | ETA: 18h 02m 56s
  [18/5830] NVDA chunk 2/530 | 312 bars | ETA: 18h 02m 31s
  [19/5830] MSFT chunk 2/530 | 312 bars | ETA: 18h 02m 09s
  [20/5830] SMCI chunk 2/530 | 312 bars | ETA: 18h 01m 47s
  [21/5830] IWM chunk 2/530 | 312 bars | ETA: 18h 01m 30s
